text,label,language
eh mais enfaite ‘zebi’ ça veut dire bise’ en verlan nan,insult,darija
je vais me réveiller à 6h au lieu de 7h histoire de réviser un peu zebi oslm tu m’a plus jamais revu,insult,darija
ma matrixe la video il est trop chou zebi,insult,darija
mmh tu manquer l’odeur de ta culotte nahchtoulimek y’a zebi,insult,darija
tantôt nari zebi zmagri le7ia dial bljika,insult,darija
tounsi fi difficulti zebi ramène de l’oxygène tu vois pas que khazri est sous assistance respiratoire,insult,darija
*تنهد* *تنهد* jai pas parler dans la vidéo zebi donne le reste en dm stp *تنهد* *ارجوك*,insult,darija
*تنهد* *تنهد* nn mais ctrop zebi y a pas a faire des injustices dla soorte yaa pass y a pas,insult,darija
*تنهد* *تنهد* zebi je me suis pas relu,insult,darija
*تنهد* *تنهد* javoue que si il vois pas ce signale zebi *تنهد* *ارجوك*,insult,darija
*تنهد* *تنهد* merci zebi toi t fort avec des disquettes c deja ça,insult,darija
*تنهد* *تنهد* personne a compris l’ironie du tweet zebi,insult,darija
*تنهد* *يتدحرج علي الارض من الضحك* mounia elle devient quoi zebi,insult,darija
*تنهد* c’est trop réel zebi,insult,darija
*تنهد* cest ban quils te laissent te poser un peu zebi tu sais pourquoi tas sauté encore,insult,darija
*تنهد* fhal walo ydirha dak zebi rah hbil m3a kero,insult,darija
*تنهد* j’hésite frère g le mm problème que bakh mtn zebi,insult,darija
*تنهد* jmy attendais pas zebi,insult,darija
*تنهد* khalou zebi nro7,insult,darija
*تنهد* mais c’est un son zebi *تنهد*,insult,darija
*تنهد* zebi kaykheliw track yzid ydamrk tfo 3la che3b ki dayr,insult,darija
*تنهد* zebi your life is so eventful i want it,insult,darija
*تنهد* j’ai rien fait zebi,insult,darija
*تنهد* nazim 9wd,insult,darija
*صفق* *رمز تعبيري معدل واحد* *صفق* *رمز تعبيري معدل واحد* *صفق* *رمز تعبيري معدل واحد* j’ai dit 15 minje l’ai raté de 4minça part en couilles mais pas avec un akhi mais avec juifc’est magnifique,insult,darija
*ضوء الدوريه* flash zebi *ضوء الدوريه*,insult,darija
*عين* *عين* j’en ai deux zebi *فرح*,insult,darija
*فرح* c’est même pas moi a zebi *شخص تغطيه الوجه باليد* *رمز تعبيري معدل واحد*  *علامه الذكور* ,insult,darija
*فرح* sayeb zebi je sais pas conduire avec des talons *فرح* *فرح*,insult,darija
*فرح* yak b3dak a zebi,insult,darija
*فرح* اسير تقود ه,insult,darija
*فرح* القلاوي فاش فكرتيني,insult,darija
*يتدحرج علي الارض من الضحك* y’a wedi rahy 2021 bakra ma t9awed h akdab mlih y’a zebi,insult,darija
تفو عليك و علي لي مثلك لكمه,insult,darija
منيول و دي باك و مك خليهم يشرعو فامهم ينعل جد بوهم الكلب,insult,darija
سير تحوا الكرغلي,insult,darija
100 ghadi n3ess mn hna chwia ban liya makayn la track la zebi,insult,darija
15 w yedek f zebi,insult,darija
15min que j’ai ma nouvelle voiture j’me fais déjà arrêter zebi ca commence bien,insult,darija
16 1 femme pr chacun zebi,insult,darija
18 points zebi si la russie marque javais un bon résultat,insult,darija
20 balles oh zebi jlachete mm pas pour moi,insult,darija
20 giroud zebi mtn tout le monde va le sucer mdrr,insult,darija
2021 و مازال كاتستعمل ديك الله ينعل الطاسيله و الفاصيله و النقطه و رجع للسطر *تنهد*,insult,darija
216 c une pute aussi on sen fou zebi,insult,darija
hadretkom hlowa a triket adoma,insult,darija
3 et elle aussi ptn,insult,darija
30 francs zébi j’en peux plus *يتدحرج علي الارض من الضحك*,insult,darija
3aeila d zebi,insult,darija
3afak kanbki ya zebi,insult,darija
I broke up with her cuz she was a big b li ja bssmlah,insult,darija
3andi mood swings ki zebi,insult,darija
3awd tani fri3 lker,insult,darija
3ayani hed match te3 zebi,insult,darija
3la slamtk ya zebi,insult,darija
3lach akhoya chkon nta goaal 1 0,insult,darija
3lach kaytl3li had l9lawi kola mrra,insult,darija
3mla ki zebi rosa,insult,darija
3ndha l9lawi fsdrha azbi,insult,darija
3robi trop chaud zebi,insult,darija
3roubi entah zebi sir tehewa ya weld kehba tebon nta3 mok ya barhouch,insult,darija
3te9 3te9 a zebi bnadm makay7kch le7mo *تنهد*,insult,darija
3tiwni tassa wlpassport,insult,darija
3yit men had wjeh dyal zeb,insult,darija
49 c est beaucoup quand même zebi,insult,darija
4h j’arrive pas à dormir zebi jsuis trop pensif,insult,darija
ro7 9wd,insult,darija
5 but zebi 5 mdr j arrives tjrs pas a m en remettre,insult,darija
50 zebi djoko ta mère,insult,darija
50 la nuit pour une chambre seule a l’hôpital heureusement que y’a la mutuelle même pour te soigner on te taxe zebi c’est trop,insult,darija
500k morts du covid là bas et cest un bordel pas possible,insult,darija
5h zebi je dort tjr pas,insult,darija
6 réunions aujourd’hui zebi,insult,darija
60e de hors forfait zebi,insult,darija
610 il y’a mieux y’a zebi,insult,darija
65km de vélo ya zebi,insult,darija
7 ديال بوركينا لافاصو مقود,insult,darija
7bet 5min a pieds fe la grande poste wa7ed 30 meufs qui se fait accosté et 50 mecs 9a3din y3asou fe lmadamat incroyable ya zebi,insult,darija
7h40 du mat bordel,insult,darija
7lebet la moitié ou mazalek hna wesh ya zebi,insult,darija
7lo l7odod al97ab,insult,darija
7wi yeddik,insult,darija
7wit mok ana a zebi,insult,darija
7witih allez retour,insult,darija
80 ballesmois pour 1 courssemaine de pole dance cest cher zebi *متامل*,insult,darija
9a7ba mok,insult,darija
9awdtha wa9ila nmchi n3as 7ssen lia,insult,darija
9awedi ya lkherya,insult,darija
9aweedtiiha,insult,darija
9lawi 3it man had usa diyal zab bghit nrja3 morocco this summer,insult,darija
9lawi 3la 3inik a lkelb *نظارات شمسيه*,insult,darija
9lawi 9awed 9bel mandir chi 9alwa mat3jeb hta wahed,insult,darija
9lawi ach hadchi,insult,darija
9lawi ach hadchi *تنهد*,insult,darija
9lawi ana sakn fljanob gha lyouma shl 3lina rbi,insult,darija
9lawi b3di mni *تنهد*,insult,darija
9lawi entee payante a zbi,insult,darija
9lawi fransawiyin dial lkhra,insult,darija
9lawi had l9raya en ligne mablanch,insult,darija
9lawi jibo lina hi 3mouta wala had xarf,insult,darija
9lawi ka nmout bn3ass mais had chi ra ma imkench *نار*,insult,darija
9lawi khssr liya l pronostic,insult,darija
9lawi ki s7bli ra 3ndu a shi 24,insult,darija
9lawi kolchi chad l3otla ila ana *تنهد*,insult,darija
9lawi la khdinaha ghir b9a t7lem,insult,darija
9lawi latla3t lchi space kat fad7o rabna o kat golo l3ibad lah lkdoub 7choma 3likom akhouti,insult,darija
9lawi lherba a zbi,insult,darija
9lawi mn 2016 achmn rushed they simply fucked up,insult,darija
9lawi n7as n3amas,insult,darija
9lawi rah hrblk h,insult,darija
9lawi t’as mis le maillot de bensebaini en pp,insult,darija
9lawi y a pas d electricite,insult,darija
9lbi fidèle zebi li polygame,insult,darija
9nannouét mte3 zebi,insult,darija
9wd *قلب مجروح* benqui sir chuf nta *نقطه الحق* *رمز تعبيري معدل واحد* *نقطه اليسار* *رمز تعبيري معدل واحد*,insult,darija
9wd hbiba *تقبيل القلب*,insult,darija
9wd jvous ai bloqué ya lqhab,insult,darija
9wd nikmok,insult,darija
9wd nta endek boumerdes ge3 yzby,insult,darija
9wd nta yzby ak meamer b les meufs f tes dm jay t9lwi elina hna,insult,darija
9wd swaye3 *قبضه*,insult,darija
a 1 jour après toi bordel,insult,darija
à 10h il y a la messe zebi,insult,darija
a 230 dans le gtd zebi,insult,darija
a bah pour du mixage sa prend du temps 2012 on attend zebi,insult,darija
a cause de ta go zebi,insult,darija
à croire ils ont des trucs à faire zebi,insult,darija
a deux doigts de se faire attaquer par un sanglier zebi,insult,darija
a fond zebi livrée à eux meme réellement,insult,darija
a ghawto had lmatch dial nole 9lawi dial n7ass,insult,darija
a kifach azbi 92 wahd mkchi f space,insult,darija
a la base on mangeait de la viande crue on utilisait des silex et tout pq on s’est compliqué la vie avec les études zebi,insult,darija
a mais zebi je vois rien,insult,darija
a makayn la crush la walo a zebi *فرح*,insult,darija
a mcdo grand litto zebi,insult,darija
a mela zebi howa,insult,darija
a moi la télé zebi,insult,darija
a new token is going to the moon not the zebi token *ابتسامه عرق*,insult,darija
a peine j’ai mis le son pr te l’envoyer j’ai 3 larmes qui ont coulé sa mère là pute marre d’être une agag faible zebi,insult,darija
a zebi ma3rft chkoun hada li fach kandir lkit kayji ydwi m3aya,insult,darija
a zebi malkoum *فرح*,insult,darija
ach a wlad l9hab bghitouni nfiye9 khalti bach tgoulikoum ch7al dayr toub dyal lmla7ef,insult,darija
ach had l9lawi azbi kifach mn zara profilk dayr liha ama ret ou ana knt na3ss,insult,darija
achete moi le pass zebi,insult,darija
acheté moi un kdo zebi,insult,darija
achete un coeur ya zebi,insult,darija
actuellement j’devrais être entrain de danser en soirée mais je suis dans mon lit zebi,insult,darija
add zebi tu comprendar pas l español,insult,darija
adulting sucks ya zebi,insult,darija
aggrave pas mon cas zebi,insult,darija
ah arrêt cardiaque ah oe zebi,insult,darija
ah ma3raftch 3lach hta 4g m9awda 3la rabha,insult,darija
ah mais en vrai ça va t es bien attend c est loin de ouf ton grand oral zebi force bg tu vas tout dead,insult,darija
ah mais je croyais c’était de l’ironie moi zebi,insult,darija
ah mais voilà met le contexte sinon on crois tu pleure parce quil dit quil va ejaculer zebi,insult,darija
ah oe mdr jsusi con zebi,insult,darija
ah ok tu parlais a qui zebi,insult,darija
ah okk je vois ou t’en est vivement qu’il reprennent la zebi,insult,darija
ah okk zebi dsl jss con,insult,darija
ah okok javais vu un thread à lépoque sûrement du fake zebi,insult,darija
